repo_id,repo_full_name,early_4week_stars,early_avg_weekly_stars,early_max_weekly_stars,later_stars,later_avg_weekly_stars,became_high_growth,language,topics,stars_count,forks_count,watchers_count,open_issues_count,created_at,updated_at,pushed_at,archived,is_fork,license,html_url
155220641,huggingface/transformers,1500,375.0,924,0.0,0.0,0,Python,audio|deep-learning|deepseek|gemma|glm|hacktoberfest|llm|machine-learning|model-hub|natural-language-processing|nlp|pretrained-models|python|pytorch|pytorch-transformers|qwen|speech-recognition|transformer|vlm,161564,33496,161564,2435,2018-10-29T13:56:00Z,2026-06-13T20:11:21Z,2026-06-13T18:11:29Z,0,0,Apache-2.0,https://github.com/huggingface/transformers
156157055,GokuMohandas/Made-With-ML,1500,375.0,1494,0.0,0.0,0,Jupyter Notebook,data-engineering|data-quality|data-science|deep-learning|distributed-ml|distributed-training|llms|machine-learning|mlops|natural-language-processing|python|pytorch|ray,48019,7553,48019,25,2018-11-05T03:44:27Z,2026-06-13T20:40:54Z,2026-03-04T23:44:21Z,0,0,MIT,https://github.com/GokuMohandas/Made-With-ML
159152904,jeecgboot/JeecgBoot,155,38.75,95,1345.0,103.46153846153848,1,Java,activiti|agent|ai|antd|claude-code|cli|codegenerator|codex|flowable|langchain4j|llm|low-code|mcp|mybatis-plus|rag|skills|spring-ai|springboot|springcloud|vue3,46727,16050,46727,32,2018-11-26T10:40:00Z,2026-06-13T19:00:23Z,2026-06-13T02:08:37Z,0,0,Apache-2.0,https://github.com/jeecgboot/JeecgBoot
160919119,fastapi/fastapi,69,17.25,25,1431.0,119.25,1,Python,api|async|asyncio|fastapi|framework|json|json-schema|openapi|openapi3|pydantic|python|python-types|python3|redoc|rest|starlette|swagger|swagger-ui|uvicorn|web,99170,9432,99170,94,2018-12-08T08:21:47Z,2026-06-13T19:32:25Z,2026-06-13T18:22:49Z,0,0,MIT,https://github.com/fastapi/fastapi
162998479,sherlock-project/sherlock,1500,750.0,1096,0.0,0.0,0,Python,cli|cti|cybersecurity|forensics|hacktoberfest|information-gathering|infosec|linux|osint|pentesting|python|python3|reconnaissance|redteam|sherlock|tools,84961,9924,84961,286,2018-12-24T14:30:48Z,2026-06-13T19:16:12Z,2026-06-13T06:30:41Z,0,0,MIT,https://github.com/sherlock-project/sherlock
163591278,GitHubDaily/GitHubDaily,1096,274.0,559,404.0,202.0,0,,ai|algorithms-and-data-structures|backend|developer-tools|development|frontend|github|java|javascript|kubernetes|linux|markdown|open-source|python|tutorials|web,46766,4640,46766,642,2018-12-30T13:56:58Z,2026-06-13T16:14:14Z,2025-12-31T18:59:20Z,0,0,,https://github.com/GitHubDaily/GitHubDaily
172562475,florinpop17/app-ideas,309,77.25,190,1191.0,397.0,1,,applications|coding|codingchallenges|css|hacktoberfest|html|ideas|javascript|practice,94948,10485,94948,608,2019-02-25T18:36:56Z,2026-06-13T20:47:43Z,2025-10-11T14:51:21Z,0,0,MIT,https://github.com/florinpop17/app-ideas
192925833,prisma/prisma,73,18.25,42,1427.0,50.964285714285715,1,TypeScript,cockroachdb|database|javascript|mariadb|mongo|mongodb|mongodb-orm|mssql|mysql|nodejs|orm|postgres|postgresql|prisma|prisma-client|query-builder|sql-server|sqlite|sqlserver|typescript,46265,2242,46265,2620,2019-06-20T13:33:47Z,2026-06-13T18:40:57Z,2026-06-12T08:32:43Z,0,0,Apache-2.0,https://github.com/prisma/prisma
202367615,lyswhut/lx-music-desktop,227,56.75,108,1273.0,106.08333333333331,1,TypeScript,electron|javascript|music-player|vue,51545,6857,51545,1206,2019-08-14T14:31:08Z,2026-06-13T18:58:45Z,2026-06-07T03:46:40Z,0,0,Apache-2.0,https://github.com/lyswhut/lx-music-desktop
204086862,streamlit/streamlit,63,15.75,49,1437.0,718.5,1,Python,data-analysis|data-science|data-visualization|deep-learning|developer-tools|machine-learning|python|streamlit,44963,4279,44963,1322,2019-08-24T00:14:52Z,2026-06-13T18:27:45Z,2026-06-13T14:03:19Z,0,0,Apache-2.0,https://github.com/streamlit/streamlit
207645083,TanStack/query,38,9.5,19,1462.0,487.3333333333333,1,TypeScript,async|cache|data|fetch|graphql|hooks|query|react|rest|solid|stale|stale-while-revalidate|svelte|typescript|update|vue,49740,3885,49740,187,2019-09-10T19:23:58Z,2026-06-13T18:30:39Z,2026-06-12T20:20:01Z,0,0,MIT,https://github.com/TanStack/query
208728772,milvus-io/milvus,389,97.25,204,1111.0,555.5,1,Go,anns|cloud-native|diskann|distributed|embedding-database|embedding-similarity|embedding-store|faiss|golang|hnsw|image-search|llm|nearest-neighbor-search|rag|vector-database|vector-search|vector-similarity|vector-store,44762,4065,44762,909,2019-09-16T06:43:43Z,2026-06-13T16:46:44Z,2026-06-13T01:12:21Z,0,0,Apache-2.0,https://github.com/milvus-io/milvus
212639071,bregman-arie/devops-exercises,1389,347.25,979,111.0,111.0,0,Python,ansible|aws|azure|coding|containers|devops|docker|git|interview|interview-questions|kubernetes|linux|openstack|production-engineer|prometheus|python|sql|sre|terraform,82751,19531,82751,47,2019-10-03T17:31:21Z,2026-06-13T20:56:47Z,2025-12-27T14:22:30Z,0,0,NOASSERTION,https://github.com/bregman-arie/devops-exercises
221981891,microsoft/playwright,1500,750.0,1499,0.0,0.0,0,TypeScript,automation|chrome|chromium|e2e-testing|electron|end-to-end-testing|firefox|javascript|playwright|test|test-automation|testing|testing-tools|web|webkit,90886,6033,90886,178,2019-11-15T18:32:42Z,2026-06-13T20:04:43Z,2026-06-12T21:47:30Z,0,0,Apache-2.0,https://github.com/microsoft/playwright
229764465,Asabeneh/30-Days-Of-JavaScript,1041,260.25,692,459.0,41.72727272727273,0,JavaScript,30daysofjavascript|angular|challenge|css|d3|d3js|html|javascript|javascript-for-everyone|js|json|node|nodejs|programming|react|redux|typescript|vue|webdevelopment|website,46454,10436,46454,367,2019-12-23T14:07:40Z,2026-06-13T17:47:47Z,2025-12-06T11:12:48Z,0,0,,https://github.com/Asabeneh/30-Days-Of-JavaScript
255378816,bigskysoftware/htmx,1118,279.5,953,382.0,127.33333333333331,0,JavaScript,hateoas|html|htmx|hyperscript|javascript|rest,48197,1601,48197,663,2020-04-13T16:17:51Z,2026-06-13T15:09:29Z,2026-06-13T11:28:53Z,0,0,NOASSERTION,https://github.com/bigskysoftware/htmx
265612440,coqui-ai/TTS,303,75.75,260,1197.0,92.07692307692308,1,Python,deep-learning|glow-tts|hifigan|melgan|multi-speaker-tts|python|pytorch|speaker-encoder|speaker-encodings|speech|speech-synthesis|tacotron|text-to-speech|tts|tts-model|vocoder|voice-cloning|voice-conversion|voice-synthesis,45555,6115,45555,9,2020-05-20T15:45:28Z,2026-06-13T14:23:18Z,2024-08-16T12:07:14Z,0,0,MPL-2.0,https://github.com/coqui-ai/TTS
266417772,SimplifyJobs/Summer2026-Internships,176,44.0,76,1324.0,88.26666666666667,1,Python,data-science|fall-2026|github|internship|internships|interview-preparation|jobs|software-engineering|university,44903,3181,44903,5,2020-05-23T20:53:18Z,2026-06-13T20:30:32Z,2026-06-13T20:30:28Z,0,0,,https://github.com/SimplifyJobs/Summer2026-Internships
274495425,remotion-dev/remotion,1500,1500.0,1500,0.0,0.0,0,TypeScript,javascript|react|video,50012,3575,50012,134,2020-06-23T19:49:10Z,2026-06-13T20:59:41Z,2026-06-13T20:38:20Z,0,0,NOASSERTION,https://github.com/remotion-dev/remotion
287463830,microsoft/qlib,546,136.5,211,954.0,119.25,1,Python,algorithmic-trading|auto-quant|deep-learning|finance|fintech|investment|machine-learning|paper|platform|python|quant|quant-dataset|quant-models|quantitative-finance|quantitative-trading|research|research-paper|stock-data,44357,7008,44357,424,2020-08-14T06:46:00Z,2026-06-13T20:38:07Z,2026-04-22T07:08:01Z,0,0,MIT,https://github.com/microsoft/qlib
307260205,yt-dlp/yt-dlp,42,10.5,15,1458.0,47.03225806451613,1,Python,cli|downloader|python|sponsorblock|youtube-dl|youtube-downloader|yt-dlp,170363,14358,170363,2535,2020-10-26T04:22:55Z,2026-06-13T20:54:13Z,2026-06-12T22:55:22Z,0,0,Unlicense,https://github.com/yt-dlp/yt-dlp
311525798,microsoft/Web-Dev-For-Beginners,1500,750.0,1212,0.0,0.0,0,JavaScript,css|curriculum|education|html|javascript|learning|microsoft-for-beginners|tutorials,95878,15593,95878,74,2020-11-10T02:44:00Z,2026-06-13T20:54:28Z,2026-06-05T19:17:29Z,0,0,MIT,https://github.com/microsoft/Web-Dev-For-Beginners
343965132,microsoft/ML-For-Beginners,1500,750.0,1499,0.0,0.0,0,Jupyter Notebook,data-science|education|machine-learning|machine-learning-algorithms|machinelearning|machinelearning-python|microsoft-for-beginners|ml|python|r|scikit-learn|scikit-learn-python,86796,21068,86796,11,2021-03-03T01:34:05Z,2026-06-13T20:39:05Z,2026-06-09T14:40:21Z,0,0,MIT,https://github.com/microsoft/ML-For-Beginners
344190478,microsoft/AI-For-Beginners,129,32.25,45,1371.0,80.6470588235294,1,Jupyter Notebook,ai|artificial-intelligence|cnn|computer-vision|deep-learning|gan|machine-learning|microsoft-for-beginners|nlp|rnn,48114,9966,48114,9,2021-03-03T16:27:36Z,2026-06-13T20:13:08Z,2026-06-11T01:06:57Z,0,0,MIT,https://github.com/microsoft/AI-For-Beginners
357728969,oven-sh/bun,22,5.5,12,1478.0,38.89473684210526,1,Rust,bun|bundler|javascript|javascriptcore|jsx|nodejs|npm|react|transpiler|typescript|zig|ziglang,93148,4699,93148,7169,2021-04-14T00:48:17Z,2026-06-13T20:42:32Z,2026-06-13T20:58:09Z,0,0,NOASSERTION,https://github.com/oven-sh/bun
364474335,google/zx,1500,1500.0,1500,0.0,0.0,0,JavaScript,bash|child-process|cli|exec|javascript|nodejs|pipe|shell|spawn,45534,1268,45534,53,2021-05-05T05:50:01Z,2026-06-13T19:46:53Z,2026-06-13T01:03:50Z,0,0,Apache-2.0,https://github.com/google/zx
365739812,tldraw/tldraw,1500,500.0,1498,0.0,0.0,0,TypeScript,canvas|collaboration|design|diagram|drawing|infinite|multiplayer|react|sdk|sketch|sync|whiteboard,47776,3296,47776,423,2021-05-09T11:48:37Z,2026-06-13T21:00:06Z,2026-06-13T20:53:04Z,0,0,NOASSERTION,https://github.com/tldraw/tldraw
453717720,AykutSarac/jsoncrack.com,46,11.5,35,1454.0,181.75,1,TypeScript,csv|diagrams|graph|json|nextjs|react|tool|visualization|yaml,44126,3554,44126,36,2022-01-30T15:25:18Z,2026-06-13T20:16:29Z,2026-05-15T20:43:28Z,0,0,Apache-2.0,https://github.com/AykutSarac/jsoncrack.com
455229168,immich-app/immich,310,77.5,173,1190.0,74.375,1,TypeScript,backup-tool|flutter|google-photos|google-photos-alternative|javascript|mobile-app|nestjs|nodejs|photo-gallery|photos|photos-management|self-hosted|svelte|sveltekit|typescript|videos,103247,5841,103247,647,2022-02-03T15:56:27Z,2026-06-13T20:37:39Z,2026-06-13T20:01:39Z,0,0,AGPL-3.0,https://github.com/immich-app/immich
522158088,zhayujie/CowAgent,50,12.5,18,1450.0,290.0,1,Python,ai|ai-agent|ai-agents|chatgpt-on-wechat|claude|claude-code|codex|cowagent|deepseek|harness|llm|mcp|multi-agent|openai|openclaw|skills,45278,10197,45278,17,2022-08-07T08:33:41Z,2026-06-13T17:58:10Z,2026-06-13T10:23:57Z,0,0,MIT,https://github.com/zhayujie/CowAgent
523043277,astral-sh/ruff,1500,750.0,1347,0.0,0.0,0,Rust,linter|pep8|python|python3|ruff|rust|rustpython|static-analysis|static-code-analysis|style-guide|styleguide,47960,2148,47960,2004,2022-08-09T17:17:44Z,2026-06-13T19:53:47Z,2026-06-13T20:32:00Z,0,0,MIT,https://github.com/astral-sh/ruff
527591471,AUTOMATIC1111/stable-diffusion-webui,1500,500.0,995,0.0,0.0,0,Python,ai|ai-art|deep-learning|diffusion|gradio|image-generation|image2image|img2img|pytorch|stable-diffusion|text2image|torch|txt2img|unstable|upscaling|web,163676,30368,163676,2490,2022-08-22T14:05:26Z,2026-06-13T19:07:13Z,2026-03-02T07:00:53Z,0,0,AGPL-3.0,https://github.com/AUTOMATIC1111/stable-diffusion-webui
542284380,usebruno/bruno,130,32.5,45,1370.0,30.444444444444443,1,JavaScript,api-client|api-testing|automation|developer-tools|git|graphql-client|http-client|javascript|openapi|openapi3|opensource|rest-api|testing|testing-tools,44879,2575,44879,1711,2022-09-27T20:51:45Z,2026-06-13T19:54:41Z,2026-06-12T18:13:27Z,0,0,MIT,https://github.com/usebruno/bruno
552661142,langchain-ai/langchain,367,91.75,128,1133.0,161.85714285714286,1,Python,agents|ai|ai-agents|anthropic|chatgpt|deepagents|enterprise|framework|gemini|generative-ai|langchain|langgraph|llm|multiagent|open-source|openai|pydantic|python|rag|typescript,139206,23077,139206,414,2022-10-17T02:58:36Z,2026-06-13T20:04:36Z,2026-06-13T09:04:53Z,0,0,MIT,https://github.com/langchain-ai/langchain
560704231,run-llama/llama_index,179,44.75,77,1321.0,220.16666666666663,1,Python,agents|application|data|fine-tuning|framework|llamaindex|llm|multi-agents|rag|vector-database,50109,7553,50109,437,2022-11-02T04:24:54Z,2026-06-13T15:38:33Z,2026-06-12T19:29:18Z,0,0,MIT,https://github.com/run-llama/llama_index
568098118,makeplane/plane,5,1.25,2,1495.0,99.66666666666669,1,TypeScript,boards|bug-tracker|django|docker|gantt|issue-tracker|jira|jira-alternative|kanban|linear|postgresql|product-management|project-management|project-planning|python|react|redis|typescipt|vite|work-management,50762,4498,50762,894,2022-11-19T12:55:01Z,2026-06-13T20:59:26Z,2026-06-10T10:47:08Z,0,0,AGPL-3.0,https://github.com/makeplane/plane
572984571,twentyhq/twenty,8,2.0,3,1492.0,135.63636363636363,1,TypeScript,crm|crm-system|customer|good-first-issue|graphql|hacktoberfest|javascript|marketing|monorepo|nestjs|open-source|postgresql|react|reactjs|sales|typescript|web,49849,7205,49849,151,2022-12-01T13:04:40Z,2026-06-13T20:59:48Z,2026-06-13T20:48:55Z,0,0,NOASSERTION,https://github.com/twentyhq/twenty
574523116,f/prompts.chat,1500,1500.0,1500,0.0,0.0,0,HTML,ai|artificial-intelligence|awesome-list|chatgpt|chatgpt-prompts|claude|gemini|gpt|gpt-4|llm|machine-learning|nextjs|open-source|openai|prompt-engineering|prompts|prompts-chat|typescript,163673,21224,163673,50,2022-12-05T13:54:13Z,2026-06-13T20:44:47Z,2026-06-13T04:34:29Z,0,0,NOASSERTION,https://github.com/f/prompts.chat
579082810,dair-ai/Prompt-Engineering-Guide,967,241.75,314,533.0,177.66666666666666,1,MDX,agent|agents|ai-agents|chatgpt|deep-learning|generative-ai|language-model|llms|openai|prompt-engineering|rag,75589,8207,75589,268,2022-12-16T16:04:50Z,2026-06-13T20:34:52Z,2026-03-11T20:09:13Z,0,0,MIT,https://github.com/dair-ai/Prompt-Engineering-Guide
585146387,shadcn-ui/ui,1500,375.0,658,0.0,0.0,0,TypeScript,base-ui|components|laravel|nextjs|radix-ui|react|shadcn|tailwindcss|tanstack|ui|vite,116491,9052,116491,2034,2023-01-04T12:43:27Z,2026-06-13T20:47:19Z,2026-06-11T16:46:22Z,0,0,MIT,https://github.com/shadcn-ui/ui
589831718,Comfy-Org/ComfyUI,221,55.25,105,1279.0,255.8,1,Python,ai|comfy|comfyui|python|pytorch|stable-diffusion,116862,13672,116862,4122,2023-01-17T03:15:56Z,2026-06-13T20:54:51Z,2026-06-13T19:50:31Z,0,0,GPL-3.0,https://github.com/Comfy-Org/ComfyUI
599320067,langflow-ai/langflow,1500,750.0,829,0.0,0.0,0,Python,agents|chatgpt|generative-ai|large-language-models|multiagent|react-flow,149625,9259,149625,947,2023-02-08T22:28:03Z,2026-06-13T20:57:07Z,2026-06-13T20:45:23Z,0,0,MIT,https://github.com/langflow-ai/langflow
599547518,vllm-project/vllm,1500,750.0,1499,0.0,0.0,0,Python,amd|blackwell|cuda|deepseek|deepseek-v3|gpt|gpt-oss|inference|kimi|llama|llm|llm-serving|model-serving|moe|openai|pytorch|qwen|qwen3|tpu|transformer,82772,18023,82772,5391,2023-02-09T11:23:20Z,2026-06-13T20:21:52Z,2026-06-13T19:05:47Z,0,0,Apache-2.0,https://github.com/vllm-project/vllm
612344730,ChatGPTNextWeb/NextChat,1500,750.0,1162,0.0,0.0,0,TypeScript,calclaude|chatgpt|claude|cross-platform|desktop|fe|gemini|gemini-pro|gemini-server|gemini-ultra|gpt-4o|groq|nextjs|ollama|react|tauri|tauri-app|vercel|webui,88240,59583,88240,839,2023-03-10T18:27:54Z,2026-06-13T20:08:41Z,2026-05-15T01:19:01Z,0,0,MIT,https://github.com/ChatGPTNextWeb/NextChat
614765452,Significant-Gravitas/AutoGPT,1500,500.0,1475,0.0,0.0,0,Python,agentic-ai|agents|ai|artificial-intelligence|autonomous-agents|claude|gpt|llama-api|llm|openai|python,184930,46145,184930,434,2023-03-16T09:21:07Z,2026-06-13T20:55:47Z,2026-06-13T14:30:13Z,0,0,NOASSERTION,https://github.com/Significant-Gravitas/AutoGPT
615869301,mudler/LocalAI,203,50.75,77,1297.0,432.3333333333333,1,Go,agents|ai|api|audio-generation|decentralized|distributed|image-generation|libp2p|llama|llm|mamba|mcp|musicgen|object-detection|rerank|stable-diffusion|text-generation|tts,46831,4134,46831,188,2023-03-18T22:58:02Z,2026-06-13T20:42:50Z,2026-06-13T20:55:39Z,0,0,MIT,https://github.com/mudler/LocalAI
621803253,FlowiseAI/Flowise,1500,375.0,729,0.0,0.0,0,TypeScript,agentic-ai|agentic-workflow|agents|artificial-intelligence|chatbot|chatgpt|javascript|langchain|large-language-models|low-code|multiagent-systems|no-code|openai|rag|react|typescript|workflow-automation,53545,24511,53545,915,2023-03-31T12:23:09Z,2026-06-13T20:06:28Z,2026-06-10T07:32:39Z,0,0,NOASSERTION,https://github.com/FlowiseAI/Flowise
626805178,langgenius/dify,18,4.5,8,1482.0,741.0,1,TypeScript,agent|agentic-ai|agentic-framework|agentic-workflow|ai|automation|gemini|genai|gpt|gpt-4|llm|low-code|mcp|nextjs|no-code|openai|orchestration|python|rag|workflow,145081,22834,145081,748,2023-04-12T07:40:24Z,2026-06-13T20:26:46Z,2026-06-13T12:27:01Z,0,0,NOASSERTION,https://github.com/langgenius/dify
655099582,mlabonne/llm-course,321,80.25,283,1179.0,58.95,1,,course|large-language-models|llm|machine-learning|roadmap,80097,9325,80097,84,2023-06-17T22:16:25Z,2026-06-13T20:37:02Z,2026-02-05T13:09:26Z,0,0,Apache-2.0,https://github.com/mlabonne/llm-course
655806940,microsoft/generative-ai-for-beginners,1500,750.0,1448,0.0,0.0,0,Jupyter Notebook,ai|azure|chatgpt|dall-e|generative-ai|generativeai|gpt|language-model|llms|microsoft-for-beginners|openai|prompt-engineering|semantic-search|transformers,111933,60109,111933,3,2023-06-19T16:28:59Z,2026-06-13T20:23:19Z,2026-06-11T03:44:25Z,0,0,MIT,https://github.com/microsoft/generative-ai-for-beginners
658928958,ollama/ollama,1500,375.0,1492,0.0,0.0,0,Go,deepseek|gemma|gemma3|glm|go|golang|gpt-oss|llama|llama3|llm|llms|minimax|mistral|ollama|qwen,174059,16595,174059,3403,2023-06-26T19:39:32Z,2026-06-13T20:59:39Z,2026-06-13T19:06:43Z,0,0,MIT,https://github.com/ollama/ollama
669879380,rasbt/LLMs-from-scratch,41,10.25,36,1459.0,104.21428571428572,1,Jupyter Notebook,ai|artificial-intelligence|attention-mechanism|deep-learning|finetuning|from-scratch|generative-ai|gpt|instruction-tuning|language-model|large-language-models|llm|machine-learning|natural-language-processing|pretraining|python|pytorch|tokenizer|transformers,97103,14853,97103,3,2023-07-23T18:15:57Z,2026-06-13T20:37:46Z,2026-06-02T14:14:19Z,0,0,NOASSERTION,https://github.com/rasbt/LLMs-from-scratch
671269505,BerriAI/litellm,579,144.75,253,921.0,131.57142857142858,1,Python,ai-gateway|anthropic|azure-openai|bedrock|gateway|langchain|litellm|llm|llm-gateway|llmops|mcp-gateway|openai|openai-proxy|vertex-ai,50264,8857,50264,3449,2023-07-27T00:09:52Z,2026-06-13T21:04:09Z,2026-06-13T21:04:06Z,0,0,NOASSERTION,https://github.com/BerriAI/litellm
695864515,hacksider/Deep-Live-Cam,27,6.75,11,1473.0,37.76923076923077,1,Python,ai|ai-deep-fake|ai-face|ai-webcam|artificial-intelligence|deep-fake|deepfake|deepfake-webcam|faceswap|fake-webcam|gan|real-time-deepfake|realtime|realtime-deepfake|realtime-face-changer|video-deepfake|webcam|webcamera,93802,13682,93802,122,2023-09-24T13:19:31Z,2026-06-13T20:53:34Z,2026-05-31T16:50:59Z,0,0,AGPL-3.0,https://github.com/hacksider/Deep-Live-Cam
699532645,astral-sh/uv,1500,1500.0,1500,0.0,0.0,0,Rust,packaging|python|resolver|uv,86336,3197,86336,2701,2023-10-02T20:24:11Z,2026-06-13T20:46:40Z,2026-06-13T20:19:57Z,0,0,Apache-2.0,https://github.com/astral-sh/uv
701547123,open-webui/open-webui,95,23.75,67,1405.0,200.71428571428572,1,Python,ai|llm|llm-ui|llm-webui|llms|mcp|ollama|ollama-webui|open-webui|openai|openapi|rag|self-hosted|ui|webui,141381,20311,141381,458,2023-10-06T22:08:27Z,2026-06-13T21:03:39Z,2026-06-13T13:19:10Z,0,0,NOASSERTION,https://github.com/open-webui/open-webui
770153867,harry0703/MoneyPrinterTurbo,1500,500.0,881,0.0,0.0,0,Python,ai|automation|chatgpt|moviepy|python|shortvideo|tiktok,87240,12483,87240,37,2024-03-11T02:57:34Z,2026-06-13T20:58:39Z,2026-06-13T02:29:51Z,0,0,MIT,https://github.com/harry0703/MoneyPrinterTurbo
771302083,OpenHands/OpenHands,1500,750.0,1261,0.0,0.0,0,Python,agent|artificial-intelligence|chatgpt|claude-ai|cli|developer-tools|gpt|llm|openai,76856,9764,76856,335,2024-03-13T03:33:31Z,2026-06-13T20:54:33Z,2026-06-13T20:52:27Z,0,0,NOASSERTION,https://github.com/OpenHands/OpenHands
787076358,firecrawl/firecrawl,1500,750.0,1146,0.0,0.0,0,TypeScript,ai|ai-agents|ai-crawler|ai-scraping|ai-search|crawler|data-extraction|html-to-markdown|llm|markdown|scraper|scraping|web-crawler|web-data|web-data-extraction|web-scraper|web-scraping|web-search|webscraping,132342,7787,132342,384,2024-04-15T21:02:29Z,2026-06-13T20:48:42Z,2026-06-13T20:03:23Z,0,0,AGPL-3.0,https://github.com/firecrawl/firecrawl
793375104,Shubhamsaboo/awesome-llm-apps,803,200.75,276,697.0,348.5,1,Python,agents|llms|python|rag,114447,16987,114447,14,2024-04-29T05:30:25Z,2026-06-13T20:54:22Z,2026-06-13T04:52:12Z,0,0,Apache-2.0,https://github.com/Shubhamsaboo/awesome-llm-apps
834369920,jingyaogong/minimind,1500,375.0,1107,0.0,0.0,0,Python,artificial-intelligence|large-language-model,51700,6640,51700,42,2024-07-27T04:34:12Z,2026-06-13T17:12:34Z,2026-06-01T09:50:49Z,0,0,Apache-2.0,https://github.com/jingyaogong/minimind
881458615,browser-use/browser-use,1500,750.0,1396,0.0,0.0,0,Python,ai-agents|ai-tools|browser-automation|browser-use|llm|playwright|python,98673,11009,98673,292,2024-10-31T16:00:56Z,2026-06-13T20:51:42Z,2026-06-13T03:33:33Z,0,0,MIT,https://github.com/browser-use/browser-use
909213664,TauricResearch/TradingAgents,79,19.75,35,1421.0,71.05,1,Python,agent|finance|llm|multiagent|trading,85800,16572,85800,351,2024-12-28T03:31:08Z,2026-06-13T21:04:30Z,2026-06-13T20:50:22Z,0,0,Apache-2.0,https://github.com/TauricResearch/TradingAgents
969302809,hesreallyhim/awesome-claude-code,25,6.25,15,1475.0,295.0,1,Python,agent-skills|agentic-code|agentic-coding|ai-workflow-optimization|ai-workflows|anthropic|anthropic-claude|awesome|awesome-claude-code|awesome-list|awesome-lists|awesome-resources|claude|claude-code|coding-agent|coding-agents|coding-assistant|coding-assistants|llm,46358,4040,46358,460,2025-04-19T20:55:59Z,2026-06-13T21:02:16Z,2026-04-27T14:40:18Z,0,0,NOASSERTION,https://github.com/hesreallyhim/awesome-claude-code
997737944,ruvnet/RuView,20,5.0,12,1480.0,56.92307692307692,1,Rust,awesome|claude|densepose|esp32|firmware|home-assistant|home-automation|iot|monitoring|networking|npm|pose-estimation|react|rf|self-learning|skills|spatial-intelligence|typescript|wifi|wifi-security,73633,9823,73633,224,2025-06-07T04:32:30Z,2026-06-13T20:59:53Z,2026-06-13T20:41:13Z,0,0,MIT,https://github.com/ruvnet/RuView
1024554267,NousResearch/hermes-agent,1273,318.25,1269,227.0,227.0,0,Python,ai|ai-agent|ai-agents|anthropic|chatgpt|claude|claude-code|clawdbot|codex|hermes|hermes-agent|llm|moltbot|nous-research|openai|openclaw,192692,33623,192692,20282,2025-07-22T22:22:28Z,2026-06-13T21:03:13Z,2026-06-13T20:56:33Z,0,0,MIT,https://github.com/NousResearch/hermes-agent
1048065319,thedotmack/claude-mem,14,3.5,8,1486.0,165.11111111111111,1,JavaScript,ai|ai-agents|ai-memory|anthropic|artificial-intelligence|chromadb|claude|claude-agent-sdk|claude-agents|claude-code|claude-code-plugin|claude-skills|embeddings|long-term-memory|mem0|memory-engine|openmemory|rag|sqlite|supermemory,82131,7091,82131,123,2025-08-31T20:50:03Z,2026-06-13T20:46:57Z,2026-06-13T01:13:33Z,0,0,Apache-2.0,https://github.com/thedotmack/claude-mem
1106996539,nextlevelbuilder/ui-ux-pro-max-skill,1500,375.0,747,0.0,0.0,0,Python,ai-skills|antigravity|claude|claude-code|codex|command-line|copilot|cursor-ai|html5|kiro|landing-page|mobile-ui|qoder|react|tailwindcss|trae|ui-design|uikit|windsurf-ai,91269,9530,91269,189,2025-11-30T11:36:31Z,2026-06-13T20:58:59Z,2026-04-03T05:08:19Z,0,0,MIT,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
1136590548,affaan-m/ECC,1500,750.0,792,0.0,0.0,0,JavaScript,ai-agents|anthropic|claude|claude-code|developer-tools|llm|mcp|productivity,214843,33020,214843,56,2026-01-18T00:51:51Z,2026-06-13T21:06:26Z,2026-06-11T20:24:32Z,0,0,MIT,https://github.com/affaan-m/ECC
1147094660,HKUDS/nanobot,1500,750.0,1246,0.0,0.0,0,Python,ai|ai-agent|ai-agents|anthropic|chatgpt|claude|claude-code|codex|codex-cli|llm|nanobot|openai|openclaw,44158,7809,44158,878,2026-02-01T07:16:15Z,2026-06-13T18:02:39Z,2026-06-13T18:10:26Z,0,0,MIT,https://github.com/HKUDS/nanobot
